,Location,Indicator,Value,SurveyYearLabel,ind1,periode,sex,year,indicateur
26,Centre,Median age at first sexual intercourse [Women]: 30-34,18.4,2000,Median age at first sexual intercourse [Women], 30-34,Women,2000,Median age at first sexual intercourse 
27,South,Median age at first sexual intercourse [Women]: 30-34,17.6,2000,Median age at first sexual intercourse [Women], 30-34,Women,2000,Median age at first sexual intercourse 
28,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 30-34,17.6,2000,Median age at first sexual intercourse [Women], 30-34,Women,2000,Median age at first sexual intercourse 
29,North-West,Median age at first sexual intercourse [Women]: 30-34,18.1,2000,Median age at first sexual intercourse [Women], 30-34,Women,2000,Median age at first sexual intercourse 
30,Metropolitan area,Median age at first sexual intercourse [Women]: 35-39,18.2,2000,Median age at first sexual intercourse [Women], 35-39,Women,2000,Median age at first sexual intercourse 
31,Rest of West,Median age at first sexual intercourse [Women]: 35-39,17.6,2000,Median age at first sexual intercourse [Women], 35-39,Women,2000,Median age at first sexual intercourse 
32,South-East,Median age at first sexual intercourse [Women]: 35-39,17.6,2000,Median age at first sexual intercourse [Women], 35-39,Women,2000,Median age at first sexual intercourse 
33,North,Median age at first sexual intercourse [Women]: 35-39,18.5,2000,Median age at first sexual intercourse [Women], 35-39,Women,2000,Median age at first sexual intercourse 
34,North-East,Median age at first sexual intercourse [Women]: 35-39,18.9,2000,Median age at first sexual intercourse [Women], 35-39,Women,2000,Median age at first sexual intercourse 
35,Artibonite,Median age at first sexual intercourse [Women]: 35-39,16.8,2000,Median age at first sexual intercourse [Women], 35-39,Women,2000,Median age at first sexual intercourse 
36,Centre,Median age at first sexual intercourse [Women]: 35-39,18.5,2000,Median age at first sexual intercourse [Women], 35-39,Women,2000,Median age at first sexual intercourse 
37,South,Median age at first sexual intercourse [Women]: 35-39,17.6,2000,Median age at first sexual intercourse [Women], 35-39,Women,2000,Median age at first sexual intercourse 
38,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 35-39,17.5,2000,Median age at first sexual intercourse [Women], 35-39,Women,2000,Median age at first sexual intercourse 
39,North-West,Median age at first sexual intercourse [Women]: 35-39,18.1,2000,Median age at first sexual intercourse [Women], 35-39,Women,2000,Median age at first sexual intercourse 
40,Metropolitan area,Median age at first sexual intercourse [Women]: 40-44,17.8,2000,Median age at first sexual intercourse [Women], 40-44,Women,2000,Median age at first sexual intercourse 
41,Rest of West,Median age at first sexual intercourse [Women]: 40-44,18.3,2000,Median age at first sexual intercourse [Women], 40-44,Women,2000,Median age at first sexual intercourse 
42,South-East,Median age at first sexual intercourse [Women]: 40-44,17.7,2000,Median age at first sexual intercourse [Women], 40-44,Women,2000,Median age at first sexual intercourse 
43,North,Median age at first sexual intercourse [Women]: 40-44,17.6,2000,Median age at first sexual intercourse [Women], 40-44,Women,2000,Median age at first sexual intercourse 
44,North-East,Median age at first sexual intercourse [Women]: 40-44,19.3,2000,Median age at first sexual intercourse [Women], 40-44,Women,2000,Median age at first sexual intercourse 
45,Artibonite,Median age at first sexual intercourse [Women]: 40-44,18.2,2000,Median age at first sexual intercourse [Women], 40-44,Women,2000,Median age at first sexual intercourse 
46,Centre,Median age at first sexual intercourse [Women]: 40-44,18.6,2000,Median age at first sexual intercourse [Women], 40-44,Women,2000,Median age at first sexual intercourse 
47,South,Median age at first sexual intercourse [Women]: 40-44,17.5,2000,Median age at first sexual intercourse [Women], 40-44,Women,2000,Median age at first sexual intercourse 
48,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 40-44,18.1,2000,Median age at first sexual intercourse [Women], 40-44,Women,2000,Median age at first sexual intercourse 
49,North-West,Median age at first sexual intercourse [Women]: 40-44,19.5,2000,Median age at first sexual intercourse [Women], 40-44,Women,2000,Median age at first sexual intercourse 
50,Metropolitan area,Median age at first sexual intercourse [Women]: 45-49,19.4,2000,Median age at first sexual intercourse [Women], 45-49,Women,2000,Median age at first sexual intercourse 
51,Rest of West,Median age at first sexual intercourse [Women]: 45-49,19.3,2000,Median age at first sexual intercourse [Women], 45-49,Women,2000,Median age at first sexual intercourse 
52,South-East,Median age at first sexual intercourse [Women]: 45-49,17.2,2000,Median age at first sexual intercourse [Women], 45-49,Women,2000,Median age at first sexual intercourse 
53,North,Median age at first sexual intercourse [Women]: 45-49,17.3,2000,Median age at first sexual intercourse [Women], 45-49,Women,2000,Median age at first sexual intercourse 
54,North-East,Median age at first sexual intercourse [Women]: 45-49,19.0,2000,Median age at first sexual intercourse [Women], 45-49,Women,2000,Median age at first sexual intercourse 
55,Artibonite,Median age at first sexual intercourse [Women]: 45-49,19.0,2000,Median age at first sexual intercourse [Women], 45-49,Women,2000,Median age at first sexual intercourse 
56,Centre,Median age at first sexual intercourse [Women]: 45-49,18.1,2000,Median age at first sexual intercourse [Women], 45-49,Women,2000,Median age at first sexual intercourse 
57,South,Median age at first sexual intercourse [Women]: 45-49,17.9,2000,Median age at first sexual intercourse [Women], 45-49,Women,2000,Median age at first sexual intercourse 
58,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 45-49,18.0,2000,Median age at first sexual intercourse [Women], 45-49,Women,2000,Median age at first sexual intercourse 
59,North-West,Median age at first sexual intercourse [Women]: 45-49,19.3,2000,Median age at first sexual intercourse [Women], 45-49,Women,2000,Median age at first sexual intercourse 
60,Metropolitan area,Median age at first sexual intercourse [Women]: 20-49,18.6,2000,Median age at first sexual intercourse [Women], 20-49,Women,2000,Median age at first sexual intercourse 
61,Rest of West,Median age at first sexual intercourse [Women]: 20-49,18.2,2000,Median age at first sexual intercourse [Women], 20-49,Women,2000,Median age at first sexual intercourse 
62,South-East,Median age at first sexual intercourse [Women]: 20-49,17.6,2000,Median age at first sexual intercourse [Women], 20-49,Women,2000,Median age at first sexual intercourse 
63,North,Median age at first sexual intercourse [Women]: 20-49,17.8,2000,Median age at first sexual intercourse [Women], 20-49,Women,2000,Median age at first sexual intercourse 
64,North-East,Median age at first sexual intercourse [Women]: 20-49,18.9,2000,Median age at first sexual intercourse [Women], 20-49,Women,2000,Median age at first sexual intercourse 
65,Artibonite,Median age at first sexual intercourse [Women]: 20-49,17.9,2000,Median age at first sexual intercourse [Women], 20-49,Women,2000,Median age at first sexual intercourse 
66,Centre,Median age at first sexual intercourse [Women]: 20-49,17.7,2000,Median age at first sexual intercourse [Women], 20-49,Women,2000,Median age at first sexual intercourse 
67,South,Median age at first sexual intercourse [Women]: 20-49,17.7,2000,Median age at first sexual intercourse [Women], 20-49,Women,2000,Median age at first sexual intercourse 
68,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 20-49,17.7,2000,Median age at first sexual intercourse [Women], 20-49,Women,2000,Median age at first sexual intercourse 
69,North-West,Median age at first sexual intercourse [Women]: 20-49,18.4,2000,Median age at first sexual intercourse [Women], 20-49,Women,2000,Median age at first sexual intercourse 
70,Metropolitan area,Median age at first sexual intercourse [Women]: 25-49,18.6,2000,Median age at first sexual intercourse [Women], 25-49,Women,2000,Median age at first sexual intercourse 
71,Rest of West,Median age at first sexual intercourse [Women]: 25-49,18.1,2000,Median age at first sexual intercourse [Women], 25-49,Women,2000,Median age at first sexual intercourse 
72,South-East,Median age at first sexual intercourse [Women]: 25-49,17.7,2000,Median age at first sexual intercourse [Women], 25-49,Women,2000,Median age at first sexual intercourse 
73,North,Median age at first sexual intercourse [Women]: 25-49,17.8,2000,Median age at first sexual intercourse [Women], 25-49,Women,2000,Median age at first sexual intercourse 
74,North-East,Median age at first sexual intercourse [Women]: 25-49,18.8,2000,Median age at first sexual intercourse [Women], 25-49,Women,2000,Median age at first sexual intercourse 
75,Artibonite,Median age at first sexual intercourse [Women]: 25-49,17.8,2000,Median age at first sexual intercourse [Women], 25-49,Women,2000,Median age at first sexual intercourse 
76,Centre,Median age at first sexual intercourse [Women]: 25-49,18.1,2000,Median age at first sexual intercourse [Women], 25-49,Women,2000,Median age at first sexual intercourse 
77,South,Median age at first sexual intercourse [Women]: 25-49,17.8,2000,Median age at first sexual intercourse [Women], 25-49,Women,2000,Median age at first sexual intercourse 
78,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 25-49,17.8,2000,Median age at first sexual intercourse [Women], 25-49,Women,2000,Median age at first sexual intercourse 
79,North-West,Median age at first sexual intercourse [Women]: 25-49,18.5,2000,Median age at first sexual intercourse [Women], 25-49,Women,2000,Median age at first sexual intercourse 
80,Metropolitan area,Median age at first sexual intercourse [Men]: 20-24,15.0,2000,Median age at first sexual intercourse [Men], 20-24,Men,2000,Median age at first sexual intercourse 
81,Rest of West,Median age at first sexual intercourse [Men]: 20-24,15.3,2000,Median age at first sexual intercourse [Men], 20-24,Men,2000,Median age at first sexual intercourse 
82,South-East,Median age at first sexual intercourse [Men]: 20-24,16.8,2000,Median age at first sexual intercourse [Men], 20-24,Men,2000,Median age at first sexual intercourse 
83,North,Median age at first sexual intercourse [Men]: 20-24,15.8,2000,Median age at first sexual intercourse [Men], 20-24,Men,2000,Median age at first sexual intercourse 
84,North-East,Median age at first sexual intercourse [Men]: 20-24,17.5,2000,Median age at first sexual intercourse [Men], 20-24,Men,2000,Median age at first sexual intercourse 
85,Artibonite,Median age at first sexual intercourse [Men]: 20-24,16.3,2000,Median age at first sexual intercourse [Men], 20-24,Men,2000,Median age at first sexual intercourse 
86,Centre,Median age at first sexual intercourse [Men]: 20-24,18.4,2000,Median age at first sexual intercourse [Men], 20-24,Men,2000,Median age at first sexual intercourse 
87,South,Median age at first sexual intercourse [Men]: 20-24,17.1,2000,Median age at first sexual intercourse [Men], 20-24,Men,2000,Median age at first sexual intercourse 
88,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 20-24,16.0,2000,Median age at first sexual intercourse [Men], 20-24,Men,2000,Median age at first sexual intercourse 
89,North-West,Median age at first sexual intercourse [Men]: 20-24,17.4,2000,Median age at first sexual intercourse [Men], 20-24,Men,2000,Median age at first sexual intercourse 
90,Metropolitan area,Median age at first sexual intercourse [Men]: 25-29,16.5,2000,Median age at first sexual intercourse [Men], 25-29,Men,2000,Median age at first sexual intercourse 
91,Rest of West,Median age at first sexual intercourse [Men]: 25-29,15.7,2000,Median age at first sexual intercourse [Men], 25-29,Men,2000,Median age at first sexual intercourse 
92,South-East,Median age at first sexual intercourse [Men]: 25-29,17.1,2000,Median age at first sexual intercourse [Men], 25-29,Men,2000,Median age at first sexual intercourse 
93,North,Median age at first sexual intercourse [Men]: 25-29,16.0,2000,Median age at first sexual intercourse [Men], 25-29,Men,2000,Median age at first sexual intercourse 
94,North-East,Median age at first sexual intercourse [Men]: 25-29,16.2,2000,Median age at first sexual intercourse [Men], 25-29,Men,2000,Median age at first sexual intercourse 
95,Artibonite,Median age at first sexual intercourse [Men]: 25-29,17.9,2000,Median age at first sexual intercourse [Men], 25-29,Men,2000,Median age at first sexual intercourse 
96,Centre,Median age at first sexual intercourse [Men]: 25-29,20.8,2000,Median age at first sexual intercourse [Men], 25-29,Men,2000,Median age at first sexual intercourse 
97,South,Median age at first sexual intercourse [Men]: 25-29,17.1,2000,Median age at first sexual intercourse [Men], 25-29,Men,2000,Median age at first sexual intercourse 
98,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 25-29,16.5,2000,Median age at first sexual intercourse [Men], 25-29,Men,2000,Median age at first sexual intercourse 
99,North-West,Median age at first sexual intercourse [Men]: 25-29,16.9,2000,Median age at first sexual intercourse [Men], 25-29,Men,2000,Median age at first sexual intercourse 
100,Metropolitan area,Median age at first sexual intercourse [Men]: 30-34,17.2,2000,Median age at first sexual intercourse [Men], 30-34,Men,2000,Median age at first sexual intercourse 
101,Rest of West,Median age at first sexual intercourse [Men]: 30-34,16.2,2000,Median age at first sexual intercourse [Men], 30-34,Men,2000,Median age at first sexual intercourse 
102,South-East,Median age at first sexual intercourse [Men]: 30-34,18.3,2000,Median age at first sexual intercourse [Men], 30-34,Men,2000,Median age at first sexual intercourse 
103,North,Median age at first sexual intercourse [Men]: 30-34,16.3,2000,Median age at first sexual intercourse [Men], 30-34,Men,2000,Median age at first sexual intercourse 
104,North-East,Median age at first sexual intercourse [Men]: 30-34,16.8,2000,Median age at first sexual intercourse [Men], 30-34,Men,2000,Median age at first sexual intercourse 
105,Artibonite,Median age at first sexual intercourse [Men]: 30-34,18.5,2000,Median age at first sexual intercourse [Men], 30-34,Men,2000,Median age at first sexual intercourse 
106,Centre,Median age at first sexual intercourse [Men]: 30-34,17.5,2000,Median age at first sexual intercourse [Men], 30-34,Men,2000,Median age at first sexual intercourse 
107,South,Median age at first sexual intercourse [Men]: 30-34,16.9,2000,Median age at first sexual intercourse [Men], 30-34,Men,2000,Median age at first sexual intercourse 
108,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 30-34,15.9,2000,Median age at first sexual intercourse [Men], 30-34,Men,2000,Median age at first sexual intercourse 
109,North-West,Median age at first sexual intercourse [Men]: 30-34,17.8,2000,Median age at first sexual intercourse [Men], 30-34,Men,2000,Median age at first sexual intercourse 
110,Metropolitan area,Median age at first sexual intercourse [Men]: 35-39,15.5,2000,Median age at first sexual intercourse [Men], 35-39,Men,2000,Median age at first sexual intercourse 
111,Rest of West,Median age at first sexual intercourse [Men]: 35-39,16.9,2000,Median age at first sexual intercourse [Men], 35-39,Men,2000,Median age at first sexual intercourse 
112,South-East,Median age at first sexual intercourse [Men]: 35-39,19.4,2000,Median age at first sexual intercourse [Men], 35-39,Men,2000,Median age at first sexual intercourse 
113,North,Median age at first sexual intercourse [Men]: 35-39,18.5,2000,Median age at first sexual intercourse [Men], 35-39,Men,2000,Median age at first sexual intercourse 
114,North-East,Median age at first sexual intercourse [Men]: 35-39,17.9,2000,Median age at first sexual intercourse [Men], 35-39,Men,2000,Median age at first sexual intercourse 
115,Artibonite,Median age at first sexual intercourse [Men]: 35-39,18.3,2000,Median age at first sexual intercourse [Men], 35-39,Men,2000,Median age at first sexual intercourse 
116,Centre,Median age at first sexual intercourse [Men]: 35-39,21.0,2000,Median age at first sexual intercourse [Men], 35-39,Men,2000,Median age at first sexual intercourse 
117,South,Median age at first sexual intercourse [Men]: 35-39,16.7,2000,Median age at first sexual intercourse [Men], 35-39,Men,2000,Median age at first sexual intercourse 
118,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 35-39,15.7,2000,Median age at first sexual intercourse [Men], 35-39,Men,2000,Median age at first sexual intercourse 
119,North-West,Median age at first sexual intercourse [Men]: 35-39,18.8,2000,Median age at first sexual intercourse [Men], 35-39,Men,2000,Median age at first sexual intercourse 
120,Metropolitan area,Median age at first sexual intercourse [Men]: 40-44,16.5,2000,Median age at first sexual intercourse [Men], 40-44,Men,2000,Median age at first sexual intercourse 
121,Rest of West,Median age at first sexual intercourse [Men]: 40-44,18.8,2000,Median age at first sexual intercourse [Men], 40-44,Men,2000,Median age at first sexual intercourse 
122,South-East,Median age at first sexual intercourse [Men]: 40-44,18.1,2000,Median age at first sexual intercourse [Men], 40-44,Men,2000,Median age at first sexual intercourse 
123,North,Median age at first sexual intercourse [Men]: 40-44,17.4,2000,Median age at first sexual intercourse [Men], 40-44,Men,2000,Median age at first sexual intercourse 
124,North-East,Median age at first sexual intercourse [Men]: 40-44,16.0,2000,Median age at first sexual intercourse [Men], 40-44,Men,2000,Median age at first sexual intercourse 
125,Artibonite,Median age at first sexual intercourse [Men]: 40-44,16.4,2000,Median age at first sexual intercourse [Men], 40-44,Men,2000,Median age at first sexual intercourse 
126,Centre,Median age at first sexual intercourse [Men]: 40-44,20.8,2000,Median age at first sexual intercourse [Men], 40-44,Men,2000,Median age at first sexual intercourse 
127,South,Median age at first sexual intercourse [Men]: 40-44,19.3,2000,Median age at first sexual intercourse [Men], 40-44,Men,2000,Median age at first sexual intercourse 
128,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 40-44,15.8,2000,Median age at first sexual intercourse [Men], 40-44,Men,2000,Median age at first sexual intercourse 
129,North-West,Median age at first sexual intercourse [Men]: 40-44,18.5,2000,Median age at first sexual intercourse [Men], 40-44,Men,2000,Median age at first sexual intercourse 
130,Metropolitan area,Median age at first sexual intercourse [Men]: 45-49,19.5,2000,Median age at first sexual intercourse [Men], 45-49,Men,2000,Median age at first sexual intercourse 
131,Rest of West,Median age at first sexual intercourse [Men]: 45-49,16.2,2000,Median age at first sexual intercourse [Men], 45-49,Men,2000,Median age at first sexual intercourse 
132,South-East,Median age at first sexual intercourse [Men]: 45-49,18.2,2000,Median age at first sexual intercourse [Men], 45-49,Men,2000,Median age at first sexual intercourse 
133,North,Median age at first sexual intercourse [Men]: 45-49,18.2,2000,Median age at first sexual intercourse [Men], 45-49,Men,2000,Median age at first sexual intercourse 
134,North-East,Median age at first sexual intercourse [Men]: 45-49,17.3,2000,Median age at first sexual intercourse [Men], 45-49,Men,2000,Median age at first sexual intercourse 
135,Artibonite,Median age at first sexual intercourse [Men]: 45-49,16.3,2000,Median age at first sexual intercourse [Men], 45-49,Men,2000,Median age at first sexual intercourse 
136,Centre,Median age at first sexual intercourse [Men]: 45-49,17.5,2000,Median age at first sexual intercourse [Men], 45-49,Men,2000,Median age at first sexual intercourse 
137,South,Median age at first sexual intercourse [Men]: 45-49,18.3,2000,Median age at first sexual intercourse [Men], 45-49,Men,2000,Median age at first sexual intercourse 
138,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 45-49,18.0,2000,Median age at first sexual intercourse [Men], 45-49,Men,2000,Median age at first sexual intercourse 
139,North-West,Median age at first sexual intercourse [Men]: 45-49,19.0,2000,Median age at first sexual intercourse [Men], 45-49,Men,2000,Median age at first sexual intercourse 
140,Metropolitan area,Median age at first sexual intercourse [Men]: 50-54,17.4,2000,Median age at first sexual intercourse [Men], 50-54,Men,2000,Median age at first sexual intercourse 
141,Rest of West,Median age at first sexual intercourse [Men]: 50-54,18.2,2000,Median age at first sexual intercourse [Men], 50-54,Men,2000,Median age at first sexual intercourse 
142,South-East,Median age at first sexual intercourse [Men]: 50-54,20.3,2000,Median age at first sexual intercourse [Men], 50-54,Men,2000,Median age at first sexual intercourse 
143,North,Median age at first sexual intercourse [Men]: 50-54,18.3,2000,Median age at first sexual intercourse [Men], 50-54,Men,2000,Median age at first sexual intercourse 
144,North-East,Median age at first sexual intercourse [Men]: 50-54,18.8,2000,Median age at first sexual intercourse [Men], 50-54,Men,2000,Median age at first sexual intercourse 
145,Artibonite,Median age at first sexual intercourse [Men]: 50-54,14.8,2000,Median age at first sexual intercourse [Men], 50-54,Men,2000,Median age at first sexual intercourse 
146,Centre,Median age at first sexual intercourse [Men]: 50-54,22.3,2000,Median age at first sexual intercourse [Men], 50-54,Men,2000,Median age at first sexual intercourse 
147,South,Median age at first sexual intercourse [Men]: 50-54,20.3,2000,Median age at first sexual intercourse [Men], 50-54,Men,2000,Median age at first sexual intercourse 
148,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 50-54,17.5,2000,Median age at first sexual intercourse [Men], 50-54,Men,2000,Median age at first sexual intercourse 
149,North-West,Median age at first sexual intercourse [Men]: 50-54,20.3,2000,Median age at first sexual intercourse [Men], 50-54,Men,2000,Median age at first sexual intercourse 
150,Metropolitan area,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.1,2000,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2000,Median age at first sexual intercourse 
151,Rest of West,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.6,2000,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2000,Median age at first sexual intercourse 
152,South-East,"Median age at first sexual intercourse [Men]: 20-49(54,59)",18.5,2000,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2000,Median age at first sexual intercourse 
153,North,"Median age at first sexual intercourse [Men]: 20-49(54,59)",17.2,2000,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2000,Median age at first sexual intercourse 
154,North-East,"Median age at first sexual intercourse [Men]: 20-49(54,59)",17.4,2000,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2000,Median age at first sexual intercourse 
155,Artibonite,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.9,2000,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2000,Median age at first sexual intercourse 
156,South,"Median age at first sexual intercourse [Men]: 20-49(54,59)",17.9,2000,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2000,Median age at first sexual intercourse 
157,Grande-Anse/Nippes,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.5,2000,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2000,Median age at first sexual intercourse 
158,North-West,"Median age at first sexual intercourse [Men]: 20-49(54,59)",18.1,2000,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2000,Median age at first sexual intercourse 
159,Metropolitan area,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.7,2000,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2000,Median age at first sexual intercourse 
160,Rest of West,"Median age at first sexual intercourse [Men]: 25-49(54,59)",17.0,2000,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2000,Median age at first sexual intercourse 
161,South-East,"Median age at first sexual intercourse [Men]: 25-49(54,59)",18.7,2000,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2000,Median age at first sexual intercourse 
162,North,"Median age at first sexual intercourse [Men]: 25-49(54,59)",17.6,2000,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2000,Median age at first sexual intercourse 
163,North-East,"Median age at first sexual intercourse [Men]: 25-49(54,59)",17.4,2000,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2000,Median age at first sexual intercourse 
164,Artibonite,"Median age at first sexual intercourse [Men]: 25-49(54,59)",17.3,2000,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2000,Median age at first sexual intercourse 
165,Centre,"Median age at first sexual intercourse [Men]: 25-49(54,59)",20.4,2000,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2000,Median age at first sexual intercourse 
166,South,"Median age at first sexual intercourse [Men]: 25-49(54,59)",18.0,2000,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2000,Median age at first sexual intercourse 
167,Grande-Anse/Nippes,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.7,2000,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2000,Median age at first sexual intercourse 
168,North-West,"Median age at first sexual intercourse [Men]: 25-49(54,59)",18.4,2000,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2000,Median age at first sexual intercourse 
169,Metropolitan area,Recent sexual activity: Active in last 4 weeks,39.4,2000,Recent sexual activity, Active in last 4 weeks,,2000,Recent sexual activity
170,Rest of West,Recent sexual activity: Active in last 4 weeks,46.5,2000,Recent sexual activity, Active in last 4 weeks,,2000,Recent sexual activity
171,South-East,Recent sexual activity: Active in last 4 weeks,47.5,2000,Recent sexual activity, Active in last 4 weeks,,2000,Recent sexual activity
172,North,Recent sexual activity: Active in last 4 weeks,46.4,2000,Recent sexual activity, Active in last 4 weeks,,2000,Recent sexual activity
173,North-East,Recent sexual activity: Active in last 4 weeks,40.6,2000,Recent sexual activity, Active in last 4 weeks,,2000,Recent sexual activity
174,Artibonite,Recent sexual activity: Active in last 4 weeks,53.2,2000,Recent sexual activity, Active in last 4 weeks,,2000,Recent sexual activity
175,Centre,Recent sexual activity: Active in last 4 weeks,54.3,2000,Recent sexual activity, Active in last 4 weeks,,2000,Recent sexual activity
176,South,Recent sexual activity: Active in last 4 weeks,43.9,2000,Recent sexual activity, Active in last 4 weeks,,2000,Recent sexual activity
177,Grande-Anse/Nippes,Recent sexual activity: Active in last 4 weeks,50.3,2000,Recent sexual activity, Active in last 4 weeks,,2000,Recent sexual activity
